	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage
VOSG.DE	0,0151525	0,0104678	0,0356249	1,4925184	2,0862288	0,2008058	0,6779208	2,9786553	2,5237593
DBANn.DE	0,0183228	0,0127958	0,0345299	3,2130150		0,0053032	0,0057241	0,0651986	
KSBG_p.DE	0,0185368	0,0137324	0,0361812	2,1507209	2,7717920	0,0935435	0,2974116	1,2083571	-0,7738542
PGAG.F	0,1171064	0,0574566	0,1398989	14,2863088		0,0000000	0,0000000	-0,0000000	
BYWG.DE	0,0202012	0,0111661	0,0454341	1,3504252	2,1280752	0,4501927	3,3564772	8,7797833	
TTOG.F	0,0765316	0,0728333	0,1084968	1,3841562		0,4496445	3,4091913		
AEIG.DE	0,0168177	0,0125932	0,0437711	1,9018402	1,9645708	0,3529984	1,0486512	4,7674917	1,1530700
SWOG.F	0,0162869	0,0127797	0,0551145	0,8596315		0,3934996	0,7388031	23,2321631	
VQTG.DE				0,6295781	0,8939710	0,4488328	1,8820800	5,3062329	
GLJn.DE	0,0181902	0,0100274	0,0325876	1,1905577		0,2477305	1,4572779	5,3997829	
TLGG.DE	0,0138931	0,0118969	0,0265245	3,0162175	3,0311751	0,3914495	0,8110210	8,0203304	6,7537385
BDTG.DE	0,0191990	0,0114876	0,0399262	1,6608290	1,6635480	0,0704110	0,1240285	0,3421130	-0,1575603
HBH.DE	0,0157784	0,0090391	0,0316475	1,7838724	2,8082164	0,2943752	0,7143615	3,1841182	1,0923763
BIJG.DE	0,0139394	0,0096294	0,0307505	7,0471566	8,9766383	0,0000000	0,0000000	0,0000000	
OLGG.F	0,0184628	0,0083706	0,0301917	1,7360818	2,8217229	0,3804427	2,9143958	18,9895626	
NSUG.DE	0,0124196	0,0088795	0,0233333	1,4289691	1,7220470	0,0598629	0,1599209	0,3715692	
EUCAn.DE	0,0276007	0,0132772	0,0382103	0,9025545	1,1179696	0,3389785	0,9501004	13,2561363	13,4204447
LUMG.F	0,1922192	0,1440306	0,1996498	1,2325058		0,0000495	0,0003192	0,0003258	
AGXG.F	0,1196328	0,1405292	0,2128505	6,1266166		0,0013468	0,0014927	-0,0050473	0,3952435
IPOG.F	0,0736280	0,0111664	0,0746690	1,0269115		0,3382417	0,6127332	3,2790405	
LEOGn.DE	0,0316246	0,0159814	0,0493865	1,3881431	1,8800342	0,2129862	0,6076112	2,0935762	1,5967935
