InvestmentName	VaR_95(%)	StdDev	Risk_of_Loss (%)	Beta	Sharpe	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage
CNWKk.DE	-16,0700000	0,0963418	52,9400000	0,0003974	0,0248934	0,0351389	0,0185162	0,0810012	5,9711182	6,0999267	0,0000000	0,0000000	-0,0000000	2,3567372	0,0351389	0,0185162	0,0810012	5,9711182	6,0999267	0,0000000	0,0000000	-0,0000000	2,3567372
CDBG.DE	-23,6600000	0,1465375	51,9100000	0,0036784	0,0272251	0,0147727	0,0146742	0,0306427			0,0000000	0,0000000			0,0147727	0,0146742	0,0306427			0,0000000	0,0000000		
CBKG.DE	-30,7700000	0,1960002	55,7300000	0,0086313	0,0258990	0,0302602	0,0198975	0,0528655			0,0890151	1,6195225			0,0302602	0,0198975	0,0528655			0,0890151	1,6195225		
COPMa.DE	-118,8500000	0,7076220	50,7600000	0,0282359	0,0281208	0,0193355	0,0099018	0,0443153	0,8496215	0,8831907	0,4777005	1,9667327	3,3826621	2,9268358	0,0193355	0,0099018	0,0443153	0,8496215	0,8831907	0,4777005	1,9667327	3,3826621	2,9268358
EV4G.DE	-7,6800000	0,0465900	40,8400000	0,0008162	0,0281705	0,0187892	0,0235831	0,0389016	0,7851413	0,7977353	0,3849083	10,0221247	1,9154920	0,8930161	0,0187892	0,0235831	0,0389016	0,7851413	0,7977353	0,3849083	10,0221247	1,9154920	0,8930161
CONG.DE	-540,6000000	3,3974474	49,6200000	0,1985723	0,0112478	0,0189522	0,0108557	0,0454413	1,0882834	1,3659593	0,1622259	0,4166021	0,8559996	0,6401009	0,0189522	0,0108557	0,0454413	1,0882834	1,3659593	0,1622259	0,4166021	0,8559996	0,6401009
1COV.DE	-139,4500000	0,7827350	48,0900000	0,0333322	0,0320496	0,0215364	0,0215332	0,0343356	0,9283523	1,3190184	0,2708195	0,7931034	1,7993691	1,9036772	0,0215364	0,0215332	0,0343356	0,9283523	1,3190184	0,2708195	0,7931034	1,7993691	1,9036772
ACWNn.DE	-106,7600000	0,6264157	26,1800000	-0,0005732	0,0148908	0,0203895	0,0120424	0,0360538	3,8759519	5,5458275	0,1152143	0,1735921	0,9339433	0,0750540	0,0203895	0,0120424	0,0360538	3,8759519	5,5458275	0,1152143	0,1735921	0,9339433	0,0750540
AFXG.DE	-95,5800000	0,5708612	50,0000000	0,0201641	0,0266593	0,0178940	0,0125296	0,0329393	2,9992025	3,7278181	0,0266965	0,0417504	0,1908248	-1,6579346	0,0178940	0,0125296	0,0329393	2,9992025	3,7278181	0,0266965	0,0417504	0,1908248	-1,6579346
CE2G.DE	-19,5800000	0,1209606	46,1800000	0,0034668	0,0273588	0,0288746	0,0195928	0,0448960	1,0863016	1,5552192	0,0103284	0,0166360	0,0473557	0,7151035	0,0288746	0,0195928	0,0448960	1,0863016	1,5552192	0,0103284	0,0166360	0,0473557	0,7151035
CURG.DE	-5,4000000	0,0334916	40,9100000	0,0003181	0,0607241	0,0309070	0,0270704	0,0551935	3,7116645	5,4292267	0,0007951	0,0011312	0,0048100	0,8177008	0,0309070	0,0270704	0,0551935	3,7116645	5,4292267	0,0007951	0,0011312	0,0048100	0,8177008
DAIGn.DE	-191,5100000	1,2011973	53,8200000	0,0705009	0,0201312	0,0193591	0,0127216	0,0373451	1,1915647	1,4998119	0,4657359	1,8883516	5,4971466	-0,4597355	0,0193591	0,0127216	0,0373451	1,1915647	1,4998119	0,4657359	1,8883516	5,4971466	-0,4597355
